# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-10-09 09:55:13 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06719505 CLEAR CREEK AT GOLDEN, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06719505
#            TS   parameter     statistic     Description
#         17572       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	17572_00060_00003	17572_00060_00003_cd
5s	15s	20d	14n	10s
USGS	06719505	2000-01-01	83.0	A:e
USGS	06719505	2000-01-02	83.0	A:e
USGS	06719505	2000-01-03	84.0	A:e
USGS	06719505	2000-01-04	82.0	A:e
USGS	06719505	2000-01-05	81.0	A:e
USGS	06719505	2000-01-06	81.0	A:e
USGS	06719505	2000-01-07	82.0	A:e
USGS	06719505	2000-01-08	81.0	A:e
USGS	06719505	2000-01-09	82.0	A:e
USGS	06719505	2000-01-10	81.0	A:e
USGS	06719505	2000-01-11	83.0	A:e
USGS	06719505	2000-01-12	88.0	A:e
USGS	06719505	2000-01-13	85.0	A:e
USGS	06719505	2000-01-14	84.0	A:e
USGS	06719505	2000-01-15	85.0	A:e
USGS	06719505	2000-01-16	86.0	A:e
USGS	06719505	2000-01-17	85.0	A:e
USGS	06719505	2000-01-18	80.0	A:e
USGS	06719505	2000-01-19	75.0	A:e
USGS	06719505	2000-01-20	70.0	A:e
USGS	06719505	2000-01-21	65.0	A:e
USGS	06719505	2000-01-22	67.0	A:e
USGS	06719505	2000-01-23	67.0	A:e
USGS	06719505	2000-01-24	66.0	A:e
USGS	06719505	2000-01-25	68.0	A:e
USGS	06719505	2000-01-26	62.0	A:e
USGS	06719505	2000-01-27	57.0	A:e
USGS	06719505	2000-01-28	53.0	A:e
USGS	06719505	2000-01-29	51.0	A:e
USGS	06719505	2000-01-30	48.0	A:e
USGS	06719505	2000-01-31	57.0	A:e
USGS	06719505	2000-02-01	75.0	A:e
USGS	06719505	2000-02-02	80.0	A:e
USGS	06719505	2000-02-03	87.0	A:e
USGS	06719505	2000-02-04	81.0	A
USGS	06719505	2000-02-05	79.0	A
USGS	06719505	2000-02-06	76.0	A
USGS	06719505	2000-02-07	71.0	A
USGS	06719505	2000-02-08	67.0	A
USGS	06719505	2000-02-09	65.0	A
USGS	06719505	2000-02-10	63.0	A
USGS	06719505	2000-02-11	63.0	A
USGS	06719505	2000-02-12	64.0	A
USGS	06719505	2000-02-13	60.0	A
USGS	06719505	2000-02-14	64.0	A
USGS	06719505	2000-02-15	64.0	A
USGS	06719505	2000-02-16	61.0	A
USGS	06719505	2000-02-17	64.0	A
USGS	06719505	2000-02-18	68.0	A
USGS	06719505	2000-02-19	68.0	A
USGS	06719505	2000-02-20	72.0	A
USGS	06719505	2000-02-21	67.0	A
USGS	06719505	2000-02-22	64.0	A
USGS	06719505	2000-02-23	62.0	A
USGS	06719505	2000-02-24	63.0	A
USGS	06719505	2000-02-25	60.0	A
USGS	06719505	2000-02-26	51.0	A
USGS	06719505	2000-02-27	67.0	A
USGS	06719505	2000-02-28	65.0	A
USGS	06719505	2000-02-29	61.0	A
USGS	06719505	2000-03-01	59.0	A
USGS	06719505	2000-03-02	62.0	A
USGS	06719505	2000-03-03	60.0	A
USGS	06719505	2000-03-04	60.0	A
USGS	06719505	2000-03-05	64.0	A
USGS	06719505	2000-03-06	64.0	A
USGS	06719505	2000-03-07	65.0	A
USGS	06719505	2000-03-08	62.0	A
USGS	06719505	2000-03-09	62.0	A
USGS	06719505	2000-03-10	57.0	A
USGS	06719505	2000-03-11	55.0	A
USGS	06719505	2000-03-12	64.0	A
USGS	06719505	2000-03-13	59.0	A
USGS	06719505	2000-03-14	61.0	A
USGS	06719505	2000-03-15	66.0	A
USGS	06719505	2000-03-16	63.0	A
USGS	06719505	2000-03-17	71.0	A
USGS	06719505	2000-03-18	67.0	A
USGS	06719505	2000-03-19	59.0	A
USGS	06719505	2000-03-20	71.0	A
USGS	06719505	2000-03-21	62.0	A
USGS	06719505	2000-03-22	64.0	A
USGS	06719505	2000-03-23	65.0	A
USGS	06719505	2000-03-24	66.0	A
USGS	06719505	2000-03-25	66.0	A
USGS	06719505	2000-03-26	65.0	A
USGS	06719505	2000-03-27	67.0	A
USGS	06719505	2000-03-28	71.0	A
USGS	06719505	2000-03-29	71.0	A
USGS	06719505	2000-03-30	70.0	A
USGS	06719505	2000-03-31	72.0	A
USGS	06719505	2000-04-01	64.0	A
USGS	06719505	2000-04-02	76.0	A
USGS	06719505	2000-04-03	71.0	A
USGS	06719505	2000-04-04	77.0	A
USGS	06719505	2000-04-05	88.0	A
USGS	06719505	2000-04-06	97.0	A
USGS	06719505	2000-04-07	95.0	A
USGS	06719505	2000-04-08	85.0	A
USGS	06719505	2000-04-09	90.0	A
